conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.94852E+18,Fri Jul 25 03:51:46 +0000 2025,9,@artistsbase Aku magang krn wajib sks kuliah 3 bulan unpaid jd illustrator di animation studio. Jujur cape bgt cape mental n fisik. Tiap hari kerja dr jam 4 subuh sampe 9 malem (wkt itu wfh krn covid) Bnr2 bikin aku burnout liat2 deh kl bisa km tanya2 dlu ke org yg kerja disana gmn,1.94859E+18,,artistsbase,in,,0,1,1,https://x.com/undefined/status/1948591983758639420,1261087794,
1.94857E+18,Fri Jul 25 02:56:26 +0000 2025,5,@worksfess Aku jg kak sekolah - kuliah berprestasi &amp; produktif ikut magang organisasi volunteer dan part time. Tpi kena burnout lama pas skripsian terus telat kuliah dan masih jd jobseeker. Semoga lekas dapat kerjaan yg plus plus dan terbaik.,1.94858E+18,,worksfess,in,,0,0,0,https://x.com/undefined/status/1948578058463838426,1.64603E+18,
1.94617E+18,Fri Jul 18 11:39:49 +0000 2025,7,Hari ini nano2 banget -buka ig lihat story titik2 temen kuliah spill cowoknya yg selingkuh -baru duduk dapat cerita mantan cowoknya temen kerja ganggu hubungan mereka -burnout seharian -temen kerja cerita lagi berantem sama suaminya -temen kerja marah2 karena dc spam call kantor,1.94617E+18,,,in,,0,1,0,https://x.com/undefined/status/1946173058500456771,1943711142,
1.94221E+18,Mon Jul 07 13:12:11 +0000 2025,3,burnout jgn bahas kuliah pls main roblos aj,1.94221E+18,,,in,,0,1,0,https://x.com/undefined/status/1942210034001469494,1.88278E+18,
1.94149E+18,Sat Jul 05 13:33:49 +0000 2025,9,yang aku rasain selama kuliah 5 tahun berturut turut wkwk sambat tapi nagih walaupun burnout stres but the time will timeflies https://t.co/VV1BAaaXbM,1.94149E+18,https://pbs.twimg.com/media/GvGPfbqaAAENSkB.jpg,,in,,0,3,0,https://x.com/undefined/status/1941490701449167035,1.28196E+18,
1.94002E+18,Wed Jul 02 01:48:49 +0000 2025,2,@artistsbase Aku burnout hampir 7 tahun gak gambar. Berawal dari tahun ke 3 kuliah (kuliah desain) kena depresi sampe lulus dan sekarang masih burnout. Sempet maksa beberapa kali malah tangan gemeter pas gambar. Sekarang udah gak gemeter tapi cuma bisa gambar 5 menitan doang .,1.94023E+18,,artistsbase,in,,0,0,1,https://x.com/undefined/status/1940226120412274960,1.04927E+18,
1.8983E+18,Sat Mar 08 09:01:32 +0000 2025,0,Kemarin emang saya sempat badmood dan burnout parah mau itu dari kuliah internal ataupun lingkungan sosmed. Saya ngeluh ke dia berkali-kali bilang capek dll. Walaupun dia selalu bilang marah-marah aja dumel aja sama aku tapi saya mana tega soalnya pasti bakal takut dia. --&gt;,1.8983E+18,,Kocakapaan,in,,0,1,0,https://x.com/undefined/status/1898298023958266039,1.88599E+18,
1.89643E+18,Tue Mar 04 21:45:49 +0000 2025,2,@iStayrus @womanfeeds_id WKWKW asliii keknya kucing nangis emg everyone's favorite gasi kak punya ku juga udah sering dipencet2 bahkan minimal sehari sekali buat ritual buang stress kuliah (krna dia mmpresentasikan mhsw burnout wkskwks) ‍ kucingmu jd introvert dulu yaa ,1.89704E+18,,aishitieru,in,,0,0,0,https://x.com/undefined/status/1897040810161660071,1.30575E+18,
1.89074E+18,Sat Feb 15 12:22:04 +0000 2025,4,Baru seminggu kuliah udah burnout? Waduhh efek liburannya masih kebawa ya Coba deh journaling nulis jurnal bisa bantu kelola pikiran sekaligus jaga kesehatan mental loh https://t.co/MTVTZP4Q64,1.89074E+18,https://pbs.twimg.com/media/Gj1AgHQaUAA-io-.jpg,,in,,0,1,0,https://x.com/undefined/status/1890738345644523679,2829214908,
1.88845E+18,Mon Feb 10 01:44:30 +0000 2025,4,@kimtaerinrin @aestheteixcx @undipmfs pernah kepikiran kak tp bukan kepikiran merasa terabaikan apa ngga kepikiran nya malah ni bokap sm nyokap inget ga si gua udh kuliah? gt doang pling tp ad poin plus nya sih misalnya burnout kuliah ga ke pressure ky mikirnya yaudhlh jalanin aj wlpun keteteran ujung ujungnya,1.88877E+18,,kimtaerinrin,in,,0,0,0,https://x.com/undefined/status/1888765958174691352,1.79082E+18,
1.8879E+18,Fri Feb 07 16:08:06 +0000 2025,2,#sandyourheart sama bgtt lagi setress masalah kuliah hix sampe kyk mau burnout sen semangatt apapun yg terjadi kita jalani sama2 km ga sendiri semoga tuhan permudah semuanyaapapun itu jalanin aja sen,1.8879E+18,,,in,,0,0,0,https://x.com/undefined/status/1887896126193611184,1.81251E+18,
1.88707E+18,Wed Feb 05 09:09:56 +0000 2025,13,walaupun disini lagi highlight Jung Hoon sama Han Jimin tapi serius deh ya lagu-lagunya Jannabi tuh healing banget (musiknya bikin tenang) dulu jaman kuliah kalo udah burnout ga bisa tidur ada kali dengerin lagu mereka doang baru bisa tidur nyenyak https://t.co/xzZc2re3OX,1.88707E+18,https://pbs.twimg.com/amplify_video_thumb/1886391321990144000/img/h5u9Y-jQBa9s2qs2.jpg,,in,,0,0,0,https://x.com/undefined/status/1887066115844804850,445332363,
1.88391E+18,Mon Jan 27 16:20:00 +0000 2025,0,Cara Mahasiswa Hindari Academic Burnout di Tengah Tuntutan Kuliah dan Organisasi https://t.co/wgx5qdBLLc,1.88391E+18,,,in,,0,0,0,https://x.com/undefined/status/1883912853838831689,47274731,
1.8783E+18,Sun Jan 12 08:07:57 +0000 2025,48,@biarcepat Itu lohh yang waktu itu ketahuan selingkuh ngentot sama yg lain dengan alesan burnout kuliah,1.87835E+18,,kuwrShow,in,,0,1,2,https://x.com/undefined/status/1878353209837982152,1.25249E+18,
1.8783E+18,Sun Jan 12 08:06:09 +0000 2025,3,@reinwardreinn Ngentot sana sini bilangnya jomblo ehh pas klarif alesannya burnout gara2 kuliah,1.87835E+18,,duwalipat,in,,0,1,0,https://x.com/undefined/status/1878352754625954199,1.25249E+18,
1.87549E+18,Sat Jan 04 10:15:36 +0000 2025,146,[Cm] Aku lgi di masa burnout angkatan 20 blm sempro disaat yg lain udh wisuda marahin aku guys rasanya ga guna banget aku kuliah dosbing juga ngga yg mengayomi mhs nya mana hbsini mw byr ukt lgi,1.87549E+18,,,in,,4,25,6,https://x.com/undefined/status/1875486227878834301,1.20401E+18,
1.87451E+18,Wed Jan 01 17:50:02 +0000 2025,5,In 2024 I made a big decision: KULIAH LAGI. Akhirnya berani punya tujuan lagi ngambis lagi berjuang lagi. Persiapan di tengah kerjaan yang menggila hasilnya? Setahun 3x burnout gejala depresi dan ke psikolog hahaha. Tapi yaudah let s do the rest this year! Tuhan bantu ,1.87451E+18,,,in,,0,0,0,https://x.com/undefined/status/1874513425294152067,9.73419E+17,
1.87189E+18,Wed Dec 25 12:49:54 +0000 2024,2,@JPFBASE Lulus kuliah sasjep bukannya dapet kerja jejepangan malah benci jejepangan gara2 burnout sampe bisa marahin ortu kalo nonton dorama soalnya lulusnya pas kopit,1.8719E+18,,JPFBASE,in,,0,0,0,https://x.com/undefined/status/1871901181276258321,228635502,
1.87143E+18,Tue Dec 24 05:29:36 +0000 2024,3,semester yg pling gw tkutin pas kuliah ternyata emg beneran paling banyak burnout di semester ini sih! tapi seru krn mencoba banyak hal baru dan dpet banyak pengalaman!! semangat semester 6! ,1.87143E+18,,chasliii,in,,0,0,0,https://x.com/undefined/status/1871427986857378194,1.05386E+18,
1.86459E+18,Thu Dec 05 08:56:40 +0000 2024,2,Terima kasih ya Deandra telah mengajak aku berkunjung ke FT yang mana aku 3 tahun kuliah disini gapernah main ke FT. Alhamdulillah ia burnout ku agak terobati dikit karena tadi sempet kena angin SGLC trus kita lanjut jalan kaki balik ke Fapsi. https://t.co/JPQUANvhJD,1.86459E+18,https://pbs.twimg.com/media/GeBe_9Ga0AQYy-T.jpg,,in,,0,1,0,https://x.com/undefined/status/1864594728878223561,1.81639E+18,
1.8645E+18,Thu Dec 05 02:41:19 +0000 2024,0,Melawan Rasa Malas dan Burnout: Cara tetap Semangat Menjalani Kuliah https://t.co/eHjsmY2ukG,1.8645E+18,,,in,,0,0,0,https://x.com/undefined/status/1864500268894961733,23786106,
1.86425E+18,Wed Dec 04 09:54:05 +0000 2024,10,apa gausah kuliah ya gw sore ini nulis au aja seumur hidup (burnout),1.86425E+18,,,in,,0,1,0,https://x.com/undefined/status/1864246789613998249,1.83536E+18,
